Year,Category,Entries
2016,Fresh or Wet Hop Ale,45
2016,Fruit Wheat Beer,84
2016,Fruited Wood- and Barrel-Aged Sour Beer,82
2016,German-Style Altbier,57
2016,German-Style Doppelbock or Eisbock,29
2016,German-Style Koelsch,111
2016,German-Style Maerzen,79
2016,German-Style Pilsener,115
2016,German-Style Schwarzbier,47
2016,German-Style Sour Ale,141
2016,German-Style Wheat Ale,33
2016,Gluten-Free Beer,37
2016,Golden or Blonde Ale,115
2016,Herb and Spice Beer,114
2016,Historical Beer,43
2016,Honey Beer,64
2016,Imperial India Pale Ale,211
2016,Imperial Red Ale,62
2016,Imperial Stout,91
2016,Irish-Style Red Ale,80
2016,Kellerbier or Zwickelbier,69
2016,Mixed-Culture Brett Beer,65
2016,Munich-Style Helles,84
2016,Oatmeal Stout,61
2016,Old Ale or Strong Ale,38
2016,Ordinary or Special Bitter,39
2016,Other Belgian-Style Ale,31
2016,Other Strong Beer,46
2016,Pumpkin Spice Beer,39
2016,Pumpkin/Squash Beer,10
2016,Robust Porter,94
2016,Rye Beer,81
2016,Scotch Ale,76
2016,Scottish-Style Ale,46
2016,Session Beer,52
2016,Session India Pale Ale,118
2016,Smoke Beer,65
2016,South German-Style Hefeweizen,111
2016,Specialty Beer,54
2016,Specialty Saison,92
2016,Sweet Stout or Cream Stout,71
2016,Vienna-Style Lager,67
2016,Wood- and Barrel-Aged Beer,66
2016,Wood- and Barrel-Aged Sour Beer,64
2016,Wood- and Barrel-Aged Strong Beer,159
2016,Wood- and Barrel-Aged Strong Stout,131
2017,Aged Beer,26
2017,American-Belgo-Style Ale,53
2017,American-Style Amber Lager,70
2017,American-Style Amber/Red Ale,90
2017,American-Style Black Ale,54
2017,American-Style Brown Ale,90
2017,American-Style Cream Ale,92
2017,American-Style Fruit Beer,145
2017,American-Style India Pale Ale,408
2017,American-Style Lager or Malt Liquor,75
2017,American-Style Pale Ale,199
2017,American-Style Pilsener or International-Style Pilsener,98
2017,American-Style Sour Ale,35
2017,American-Style Stout,60
2017,American-Style Strong Pale Ale,182
2017,American-Style Wheat Beer,39
2017,American-Style Wheat Beer With Yeast,52
2017,Australian-Style or International-Style Pale Ale,105
2017,Baltic-Style Porter,48
2017,Barley Wine-Style Ale,49
2017,Belgian- and French-Style Ale,53
2017,Belgian-Style Blonde Ale or Pale Ale,64
2017,Belgian-Style Dubbel or Quadrupel,75
2017,Belgian-Style Fruit Beer,58
2017,Belgian-Style Lambic or Sour Ale,77
2017,Belgian-Style Strong Specialty Ale,74
2017,Belgian-Style Tripel,77
2017,Belgian-Style Witbier,78
2017,Berliner-Style Weisse,72
2017,Bock,36
2017,Bohemian-Style Pilsener,93
2017,Brett Beer,71
2017,Brown Porter,57
2017,Chili Beer,98
2017,Chocolate Beer,62
2017,Classic English-Style Pale Ale,30
2017,Classic Irish-Style Dry Stout,30
2017,Classic Saison,103
2017,Coffee Beer,89
2017,Coffee Stout or Porter,114
2017,Dark Lager,74
2017,Dortmunder or German-Style Oktoberfest,56
2017,Double Red Ale,72
2017,English-Style Brown Ale,63
2017,English-Style India Pale Ale,41
2017,English-Style Mild Ale,44
2017,English-Style Summer Ale,41
2017,Experimental Beer,94
2017,Export Stout,48
2017,Extra Special Bitter,73
2017,Field Beer,87
2017,Fresh or Wet Hop Ale,44
2017,Fruit Wheat Beer,90
2017,Fruited American-Style Sour Ale,105
2017,Fruited Wood- and Barrel-Aged Sour Beer,122
2017,German-Style Altbier,53
2017,German-Style Doppelbock or Eisbock,51
2017,German-Style Koelsch,154
2017,German-Style Maerzen,122
2017,German-Style Pilsener,145
2017,German-Style Wheat Ale,41
2017,Gluten-Free Beer,33
2017,Golden or Blonde Ale,126
2017,Herb and Spice Beer,145
2017,Historical Beer,40
2017,Honey Beer,69
2017,Imperial India Pale Ale,221
2017,Imperial Red Ale,41
2017,Imperial Stout,80
2017,Irish-Style Red Ale,80
2017,Kellerbier or Zwickelbier,54
2017,Leipzig-Style Gose or Contemporary Gose,96
2017,Light Lager,45
2017,Mixed-Culture Brett Beer,65
2017,Munich-Style Dunkel or European-Style Dark Lager,47
2017,Munich-Style Helles,105
2017,Oatmeal Stout,57
2017,Old Ale or Strong Ale,43
2017,Ordinary or Special Bitter,34
2017,Other Belgian-Style Ale,42
2017,Other Strong Beer,40
2017,Pumpkin/Squash Beer or Pumpkin Spice Beer,66
2017,Robust Porter,97
2017,Rye Beer,49
2017,Scotch Ale,70
2017,Scottish-Style Ale,53
2017,Session Beer,40
2017,Session India Pale Ale,130
2017,Smoke Beer,62
2017,South German-Style Hefeweizen,128
2017,Specialty Beer,42
2017,Specialty Saison,81
2017,Sweet Stout or Cream Stout,69
2017,Vienna-Style Lager,87
2017,Wood- and Barrel-Aged Beer,70
2017,Wood- and Barrel-Aged Sour Beer,86
2017,Wood- and Barrel-Aged Strong Beer,175
2017,Wood- and Barrel-Aged Strong Stout,154
2018,Aged Beer,53
2018,American-Belgo-Style Ale,51
2018,American-Style Amber Lager,91
2018,American-Style Amber/Red Ale,124
2018,American-Style Black Ale,47
2018,American-Style Brown Ale,76
2018,American-Style Cream Ale,92
2018,American-Style Fruit Beer,140
2018,American-Style India Pale Ale,311
2018,American-Style Lager or American-Style Malt Liquor,65
2018,American-Style Pale Ale,170
2018,American-Style Pilsener,91
2018,American-Style Sour Ale,53
2018,American-Style Stout,43
2018,American-Style Strong Pale Ale,129
2018,American-Style Wheat Beer,54
2018,American-Style Wheat Beer with Yeast,37
2018,Australian-Style Pale Ale,46
2018,Baltic-Style Porter,33
2018,Barley Wine-Style Ale,52
2018,Belgian- and French-Style Ale,39
2018,Belgian-Style Blonde Ale or Pale Ale,56
